　,PU,*,*,　
Ｐ,FW,*,*,Ｐ
Ｑ,FW,*,*,Ｑ
Ｒ,FW,*,*,Ｒ
Ｓ,FW,*,*,Ｓ
Ｔ,FW,*,*,Ｔ
Ｕ,FW,*,*,Ｕ
Ｖ,FW,*,*,Ｖ
Ｗ,FW,*,*,Ｗ
Ｘ,FW,*,*,Ｘ
Ｘ光,NN,*,*,Ｘ光
Ｙ,FW,*,*,Ｙ
Ｚ,FW,*,*,Ｚ
ａ,FW,*,*,ａ
ｂ,FW,*,*,ｂ
ｃ,FW,*,*,ｃ
ｄ,FW,*,*,ｄ
ｅ,FW,*,*,ｅ
ｆ,FW,*,*,ｆ
ｇ,FW,*,*,ｇ
ｈ,FW,*,*,ｈ
ｉ,FW,*,*,ｉ
ｊ,FW,*,*,ｊ
ｋ,FW,*,*,ｋ
ｌ,FW,*,*,ｌ
ｍ,FW,*,*,ｍ
ｎ,FW,*,*,ｎ
ｏ,FW,*,*,ｏ
ｐ,FW,*,*,ｐ
ｑ,FW,*,*,ｑ
ｒ,FW,*,*,ｒ
ｓ,FW,*,*,ｓ
ｔ,FW,*,*,ｔ
ｕ,FW,*,*,ｕ
ｖ,FW,*,*,ｖ
ｗ,FW,*,*,ｗ
ｘ,FW,*,*,ｘ
ｙ,FW,*,*,ｙ
ㄅㄆㄇ,NN,*,*,ㄅㄆㄇ
──,PU,*,*,──
━,PU,*,*,━
━━,PU,*,*,━━
啊,DER,*,*,啊
啊,IJ,*,*,啊
啊,SP,*,*,啊
阿,NR,LOC,*,阿
阿·本岑,NR,PER,FOR,阿·本岑
阿Ｑ,NR,PER,OTH,阿Ｑ
阿巴吉耶夫,NR,PER,FOR,阿巴吉耶夫
阿比让,NR,LOC,*,阿比让
阿比洋省,NR,LOC,*,阿比洋省
阿扁,NR,PER,OTH,阿扁
阿兵哥,NN,*,*,阿兵哥
阿伯,NN,*,*,阿伯
阿不来提·阿不都热西提,NR,PER,FOR,阿不来提·阿不都热西提
阿布巴卡尔,NR,PER,FOR,阿布巴卡尔
阿布贾,NR,LOC,*,阿布贾
阿部,NR,PER,FAM,阿部
阿迪安多,NR,PER,FOR,阿迪安多
阿尔巴尼亚,NR,LOC,*,阿尔巴尼亚
阿尔贝托·藤森,NR,PER,FOR,阿尔贝托·藤森
阿尔法,NN,*,*,阿尔法
阿尔斯通,NR,ORG,*,阿尔斯通
阿富汗,NR,LOC,*,阿富汗
阿根廷,NR,LOC,*,阿根廷
阿根廷队,NR,OTH,*,阿根廷队
阿公,NN,*,*,阿公
阿花,NR,PER,OTH,阿花
阿贾克斯,NR,ORG,*,阿贾克斯
阿卡耶夫,NR,PER,FOR,阿卡耶夫
阿拉巴,NR,LOC,*,阿拉巴
阿拉伯,NR,LOC,*,阿拉伯
阿拉伯人,NN,*,*,阿拉伯人
阿拉伯式,JJ,*,*,阿拉伯式
阿拉法特,NR,PER,FOR,阿拉法特
阿拉木图,NR,LOC,*,阿拉木图
阿拉山,NR,LOC,*,阿拉山
阿勒河,NR,LOC,*,阿勒河
阿里巴巴,NR,PER,FOR,阿里巴巴
阿里山,NR,LOC,*,阿里山
阿里斯蒂德,NR,PER,FOR,阿里斯蒂德
阿利森·韦思,NR,PER,FOR,阿利森·韦思
阿联酋,NR,LOC,*,阿联酋
阿妈,NN,*,*,阿妈
阿玛斯号,NR,OTH,*,阿玛斯号
阿曼队,NR,OTH,*,阿曼队
阿美,NR,OTH,*,阿美
阿美族,NN,*,*,阿美族
阿美族人,NN,*,*,阿美族人
阿盟,NR,ORG,*,阿盟
阿明,NR,PER,OTH,阿明
阿莫科,NR,ORG,*,阿莫科
阿姆斯特丹,NR,LOC,*,阿姆斯特丹
阿姆斯特丹队,NR,OTH,*,阿姆斯特丹队
阿母,NN,*,*,阿母
阿妮塔·瓦特赫尔,NR,PER,FOR,阿妮塔·瓦特赫尔
阿尼塔·默恩,NR,PER,FOR,阿尼塔·默恩
阿牛,NR,PER,OTH,阿牛
阿皮亚,NR,LOC,*,阿皮亚
阿婆,NN,*,*,阿婆
阿齐兹,NR,PER,FOR,阿齐兹
阿塞拜疆,NR,LOC,*,阿塞拜疆
阿桑,NN,*,*,阿桑
阿莎力,VA,*,*,阿莎力
阿盛,NR,PER,OTH,阿盛
阿什塔尔,NR,PER,FOR,阿什塔尔
阿水狮,NR,PER,OTH,阿水狮
阿斯钢,NR,PER,FOR,阿斯钢
阿斯彭,NR,LOC,*,阿斯彭
阿索乡,NR,LOC,*,阿索乡
阿尾,NR,PER,OTH,阿尾
阿玉山区,NR,LOC,*,阿玉山区
阿珍,NR,PER,OTH,阿珍
阿嬷,NN,*,*,阿嬷
阿黛尔,NR,PER,FOR,阿黛尔
埃,NR,LOC,*,埃
埃德贝里,NR,PER,FOR,埃德贝里
埃尔夫,NR,ORG,*,埃尔夫
埃及,NR,LOC,*,埃及
埃及人,NN,*,*,埃及人
埃居,M,*,*,埃居
埃居,NN,*,*,埃居
埃克森,NR,ORG,*,埃克森
埃拉特,NR,LOC,*,埃拉特
埃马利布,NR,LOC,*,埃马利布
埃斯勒夫队,NR,OTH,*,埃斯勒夫队
埃索,NR,ORG,*,埃索
埃文斯,NR,PER,FOR,埃文斯
埃亚德马,NR,PER,FOR,埃亚德马
挨,VV,*,*,挨
挨家挨户,AD,*,*,挨家挨户
挨揍,VV,*,*,挨揍
唉,SP,*,*,唉
唉声,NN,*,*,唉声
唉声叹气,VV,*,*,唉声叹气
唉呀,IJ,*,*,唉呀
哀愁,NN,*,*,哀愁
哀悼,NN,*,*,哀悼
哀悼,VV,*,*,哀悼
哀乐,NN,*,*,哀乐
哀伤,VA,*,*,哀伤
哀痛,NN,*,*,哀痛
癌症,NN,*,*,癌症
矮,JJ,*,*,矮
矮化,VV,*,*,矮化
艾乐蒂,NR,PER,FOR,艾乐蒂
艾特纳,NR,ORG,*,艾特纳
艾幸,NR,PER,GIV,艾幸
艾滋病,NN,*,*,艾滋病
碍,VV,*,*,碍
爱,NN,*,*,爱
爱,NR,PER,GIV,爱
爱,VV,*,*,爱
爱宝,NR,OTH,*,爱宝
爱迪生,NR,PER,FOR,爱迪生
爱尔兰,NR,LOC,*,爱尔兰
爱港,JJ,*,*,爱港
爱国,JJ,*,*,爱国
爱国,NN,*,*,爱国
爱国,NR,PER,GIV,爱国
爱国,VA,*,*,爱国
爱国,VV,*,*,爱国
爱国奖券,NN,*,*,爱国奖券
爱国心,NN,*,*,爱国心
爱国者,NN,*,*,爱国者
爱国主义,NN,*,*,爱国主义
爱好,VV,*,*,爱好
爱好者,NN,*,*,爱好者
爱护,VV,*,*,爱护
爱家,VV,*,*,爱家
爱假,VV,*,*,爱假
爱立信,NR,ORG,*,爱立信
爱恋,VV,*,*,爱恋
爱玲,NR,PER,GIV,爱玲
爱美,NN,*,*,爱美
爱美,VV,*,*,爱美
爱美族,NN,*,*,爱美族
爱面族,NN,*,*,爱面族
爱民,VV,*,*,爱民
爱片,NN,*,*,爱片
爱情,NN,*,*,爱情
爱情剧,NN,*,*,爱情剧
爱情片,NN,*,*,爱情片
爱人,NN,*,*,爱人
爱沙尼亚,NR,LOC,*,爱沙尼亚
爱上,VV,*,*,爱上
爱乡,VV,*,*,爱乡
爱心,NN,*,*,爱心
爱因斯坦,NR,PER,FOR,爱因斯坦
爱佑,NR,PER,GIV,爱佑
爱滋病,NN,*,*,爱滋病
鞍钢,NR,ORG,*,鞍钢
鞍马,NN,*,*,鞍马
氨,NN,*,*,氨
氨伦,NN,*,*,氨伦
氨伦丝,NN,*,*,氨伦丝
氨纶丝,NN,*,*,氨纶丝
安,NR,LOC,*,安
安,NR,PER,FAM,安
安,NR,PER,GIV,安
安·库尔尼科娃,NR,PER,FOR,安·库尔尼科娃
安·马尔,NR,PER,FOR,安·马尔
安·梅德韦德夫,NR,PER,FOR,安·梅德韦德夫
安玻,NR,ORG,*,安玻
安玻人,NN,*,*,安玻人
安才,NR,PER,GIV,安才
安德丽娅·冈萨雷斯,NR,PER,FOR,安德丽娅·冈萨雷斯
安德烈·阿布杜瓦利耶夫,NR,PER,FOR,安德烈·阿布杜瓦利耶夫
安德烈·莫鲁耶夫,NR,PER,FOR,安德烈·莫鲁耶夫
安第斯,NR,LOC,*,安第斯
安定,NN,*,*,安定
安定,NR,PER,GIV,安定
安定,VA,*,*,安定
安定,VV,*,*,安定
安东街,NR,LOC,*,安东街
安东尼奥,NR,PER,FOR,安东尼奥
安度,VV,*,*,安度
安顿,VV,*,*,安顿
安放,VV,*,*,安放
安抚,NN,*,*,安抚
安抚,VV,*,*,安抚
安哥拉,NR,LOC,*,安哥拉
安国,NR,PER,GIV,安国
安海,NR,LOC,*,安海
安徽,NR,LOC,*,安徽
安徽省,NR,LOC,*,安徽省
安基,NR,ORG,*,安基
安吉拉·查默斯,NR,PER,FOR,安吉拉·查默斯
安佳尔,NR,LOC,*,安佳尔
安检,NN,*,*,安检
安静,VA,*,*,安静
安居,JJ,*,*,安居
安居,VV,*,*,安居
安居乐业,VV,*,*,安居乐业
安卡拉,NR,LOC,*,安卡拉
安乐,VA,*,*,安乐
安理会,NN,*,*,安理会
安丽娜·弗莱门,NR,PER,FOR,安丽娜·弗莱门
安曼,NR,LOC,*,安曼
安盟,NR,ORG,*,安盟
安南,NR,PER,FOR,安南
安宁,NN,*,*,安宁
安宁,VA,*,*,安宁
安排,NN,*,*,安排
安排,VV,*,*,安排
安普,NR,ORG,*,安普
安亲班,NN,*,*,安亲班
安全,AD,*,*,安全
安全,JJ,*,*,安全
安全,NN,*,*,安全
安全,VA,*,*,安全
安全感,NN,*,*,安全感
安全观,NN,*,*,安全观
安全局,NN,*,*,安全局
安全帽,NN,*,*,安全帽
安全区,NN,*,*,安全区
安全性,NN,*,*,安全性
安然,AD,*,*,安然
安然,NR,ORG,*,安然
安身立命,VV,*,*,安身立命
安特卫普港,NR,LOC,*,安特卫普港
安图内斯,NR,PER,FOR,安图内斯
安土,VV,*,*,安土
安瓦尔,NR,PER,FOR,安瓦尔
安慰,VV,*,*,安慰
安西,NR,PER,FAM,安西
安西府,NR,LOC,*,安西府
安息,NN,*,*,安息
安心,VA,*,*,安心
安信,NR,ORG,*,安信
安阳,NR,ORG,*,安阳
安养院,NN,*,*,安养院
安逸,VA,*,*,安逸
安置,NN,*,*,安置
安置,VV,*,*,安置
安装,NN,*,*,安装
安装,VV,*,*,安装
安娅·派松,NR,PER,FOR,安娅·派松
俺,PN,*,*,俺
按,P,*,*,按
按,VV,*,*,按
按揭,NN,*,*,按揭
按摩,NN,*,*,按摩
按摩,VV,*,*,按摩
按摩椅,NN,*,*,按摩椅
按期,AD,*,*,按期
按时,AD,*,*,按时
按照,P,*,*,按照
暗,AD,*,*,暗
暗访,NN,*,*,暗访
暗示,VV,*,*,暗示
暗喻,VV,*,*,暗喻
岸,NN,*,*,岸
岸边,NN,*,*,岸边
岸线,NN,*,*,岸线
案,NN,*,*,案
案件,NN,*,*,案件
案例,NN,*,*,案例
案情,NN,*,*,案情
案子,NN,*,*,案子
昂贵,VA,*,*,昂贵
昂头,VV,*,*,昂头
盎然,VA,*,*,盎然
凹陷,VV,*,*,凹陷
敖,NR,PER,GIV,敖
熬,VV,*,*,熬
熬夜,VV,*,*,熬夜
翱翔,VV,*,*,翱翔
傲骨,NN,*,*,傲骨
奥的斯,NR,ORG,*,奥的斯
奥地利,NR,LOC,*,奥地利
奥尔松,NR,PER,FOR,奥尔松
奥克兰,NR,LOC,*,奥克兰
奥历若克,NR,OTH,*,奥历若克
奥林匹克,NR,OTH,*,奥林匹克
奥秘,NN,*,*,奥秘
奥妙,NN,*,*,奥妙
奥斯卡,NR,OTH,*,奥斯卡
奥斯卡尼扬,NR,PER,FOR,奥斯卡尼扬
奥斯卡斯哈门,NR,PER,FOR,奥斯卡斯哈门
奥斯陆,NR,LOC,*,奥斯陆
奥斯特罗乌莫夫,NR,PER,FOR,奥斯特罗乌莫夫
奥斯特姆,NR,PER,FOR,奥斯特姆
奥拓,NR,OTH,*,奥拓
奥委会,NR,ORG,*,奥委会
奥援,NN,*,*,奥援
奥援,VV,*,*,奥援
奥运,NR,OTH,*,奥运
奥运会,NR,OTH,*,奥运会
懊恼,VV,*,*,懊恼
澳,NR,LOC,*,澳
澳币,M,*,*,澳币
澳大利亚,NR,LOC,*,澳大利亚
澳大利亚队,NR,OTH,*,澳大利亚队
澳督,NN,*,*,澳督
澳方,NN,*,*,澳方
澳科,NR,ORG,*,澳科
澳门,NR,LOC,*,澳门
澳门币,NN,*,*,澳门币
澳门岛,NR,LOC,*,澳门岛
澳门人,NN,*,*,澳门人
澳门式,JJ,*,*,澳门式
澳门式,NN,*,*,澳门式
澳人,NN,*,*,澳人
澳新,NR,ORG,*,澳新
澳元,M,*,*,澳元
澳洲,NR,LOC,*,澳洲
澳洲队,NR,OTH,*,澳洲队
澳洲籍,JJ,*,*,澳洲籍
澳资,NN,*,*,澳资
芭乐,NN,*,*,芭乐
芭蕾舞,NN,*,*,芭蕾舞
吧,SP,*,*,吧
八,CD,NOR,*,八
八德路,NR,LOC,*,八德路
八角,NN,*,*,八角
八里,NR,LOC,*,八里
八里人,NN,*,*,八里人
八里乡,NR,LOC,*,八里乡
八里坌,NR,LOC,*,八里坌
八木,NR,PER,FAM,八木
八盘峡,NR,LOC,*,八盘峡
八仙,NR,LOC,*,八仙
八仙山,NR,LOC,*,八仙山
八音,NN,*,*,八音
八字,NN,*,*,八字
巴,NR,LOC,*,巴
巴,NR,PER,FAM,巴
巴布亚新几内亚,NR,LOC,*,巴布亚新几内亚
巴尔,NR,PER,FOR,巴尔
巴尔干,NR,LOC,*,巴尔干
巴伐利亚州,NR,LOC,*,巴伐利亚州
巴甫洛夫,NR,PER,FOR,巴甫洛夫
巴嘎,NR,LOC,*,巴嘎
巴嘎班迪,NR,PER,FOR,巴嘎班迪
巴格达,NR,LOC,*,巴格达
巴格雷,NR,LOC,*,巴格雷
巴格瓦特,NR,PER,FOR,巴格瓦特
巴国,NR,LOC,*,巴国
巴哈马,NR,LOC,*,巴哈马
巴基斯坦,NR,LOC,*,巴基斯坦
巴解,NR,ORG,*,巴解
巴金森氏症,NN,*,*,巴金森氏症
巴郡,NR,LOC,*,巴郡
巴拉,NR,PER,FOR,巴拉
巴拉迪尔,NR,PER,FOR,巴拉迪尔
巴拉圭,NR,LOC,*,巴拉圭
巴拉圭队,NR,OTH,*,巴拉圭队
巴拉圭籍,NN,*,*,巴拉圭籍
巴勒斯坦,NR,LOC,*,巴勒斯坦
巴雷特,NR,PER,FOR,巴雷特
巴黎,NR,LOC,*,巴黎
巴里岛,NR,LOC,*,巴里岛
巴廖尼,NR,PER,FOR,巴廖尼
巴伦西亚,NR,LOC,*,巴伦西亚
巴洛克,NR,OTH,*,巴洛克
巴拿马,NR,LOC,*,巴拿马
巴塞罗那,NR,LOC,*,巴塞罗那
巴山,NR,LOC,*,巴山
巴士,NN,*,*,巴士
巴蜀,NR,LOC,*,巴蜀
巴泰尔斯滕,NR,PER,FOR,巴泰尔斯滕
巴塘,NR,LOC,*,巴塘
巴特勒,NR,PER,FOR,巴特勒
巴万,NR,PER,FOR,巴万
巴望,VV,*,*,巴望
巴西,NR,LOC,*,巴西
巴西队,NR,OTH,*,巴西队
巴西利亚,NR,LOC,*,巴西利亚
巴西人,NN,*,*,巴西人
巴宰,NN,*,*,巴宰
巴则海族,NN,*,*,巴则海族
巴掌,NN,*,*,巴掌
拔得头筹,VV,*,*,拔得头筹
拔地而起,VV,*,*,拔地而起
拔掉,VV,*,*,拔掉
把,BA,*,*,把
把,M,*,*,把
把,VV,*,*,把
把持,VV,*,*,把持
把关,NN,*,*,把关
把关,VV,*,*,把关
把玩,VV,*,*,把玩
把握,NN,*,*,把握
把握,VV,*,*,把握
坝,NN,*,*,坝
坝址,NN,*,*,坝址
霸,NN,*,*,霸
霸气,NN,*,*,霸气
霸权主义,NN,*,*,霸权主义
霸主,NN,*,*,霸主
罢,VV,*,*,罢
罢了,AD,*,*,罢了
罢免,VV,*,*,罢免
罢免法,NN,*,*,罢免法
罢免权,NN,*,*,罢免权
罢手,VV,*,*,罢手
罢休,VV,*,*,罢休
爸,NN,*,*,爸
爸爸,NN,*,*,爸爸
白,JJ,*,*,白
白,NN,*,*,白
白,NR,LOC,*,白
白,NR,PER,FAM,白
白,NR,PER,GIV,白
白,VA,*,*,白
白菜,NN,*,*,白菜
白俄罗斯,NR,LOC,*,白俄罗斯
白发,NN,*,*,白发
白宫,NR,LOC,*,白宫
白金,NR,ORG,*,白金
白酒,NN,*,*,白酒
白开水,NN,*,*,白开水
白领,NN,*,*,白领
白袍,NN,*,*,白袍
白皮书,NN,*,*,白皮书
白热化,VV,*,*,白热化
白色,JJ,*,*,白色
白石,NR,PER,GIV,白石
白手起家,VV,*,*,白手起家
白天,NN,*,*,白天
白天,NT,NOR,*,白天
白条,NN,*,*,白条
白相,VV,*,*,白相
白蚁,NN,*,*,白蚁
白银,NN,*,*,白银
白银,NR,LOC,*,白银
白玉兰,NN,*,*,白玉兰
白云鄂博矿,NR,LOC,*,白云鄂博矿
白云石,NN,*,*,白云石
白族,NN,*,*,白族
白垩纪,NN,*,*,白垩纪
白桦,NR,PER,GIV,白桦
白皙,VA,*,*,白皙
白鹭鸶,NN,*,*,白鹭鸶
柏村,NR,PER,GIV,柏村
柏克莱,NR,ORG,*,柏克莱
柏拉图式,JJ,*,*,柏拉图式
柏林,NR,LOC,*,柏林
柏林,NR,PER,GIV,柏林
柏亭,NR,PER,GIV,柏亭
柏杨,NR,PER,OTH,柏杨
柏忠,NR,PER,GIV,柏忠
百,CD,NOR,*,百
百步蛇,NN,*,*,百步蛇
百段坡,NR,LOC,*,百段坡
百废待举,VV,*,*,百废待举
百废俱兴,VV,*,*,百废俱兴
百分百,CD,NOR,*,百分百
百分比,NN,*,*,百分比
百分点,NN,*,*,百分点
百福道,NR,LOC,*,百福道
百富勤,NR,ORG,*,百富勤
百官,NN,*,*,百官
百货,NN,*,*,百货
百家争鸣,VV,*,*,百家争鸣
百炼钢成绕指柔,VV,*,*,百炼钢成绕指柔
百灵,NR,ORG,*,百灵
百年大计,NN,*,*,百年大计
百时美,NR,ORG,*,百时美
百态,NN,*,*,百态
百显,NR,PER,GIV,百显
百新,NR,PER,GIV,百新
百姓,NN,*,*,百姓
百折不挠,VV,*,*,百折不挠
摆,VV,*,*,摆
摆出,VV,*,*,摆出
摆荡,VV,*,*,摆荡
摆渡乡,NR,LOC,*,摆渡乡
摆放,VV,*,*,摆放
摆开,VV,*,*,摆开
摆列,VV,*,*,摆列
摆明,VV,*,*,摆明
摆上,VV,*,*,摆上
摆设,NN,*,*,摆设
摆脱,VV,*,*,摆脱
摆有,VV,*,*,摆有
佰,NR,PER,GIV,佰
败,NN,*,*,败
败北,VV,*,*,败北
败给,VV,*,*,败给
败坏,VV,*,*,败坏
败类,NN,*,*,败类
败诉,VV,*,*,败诉
败诉者,NN,*,*,败诉者
败选,NN,*,*,败选
败选,VV,*,*,败选
败血症,NN,*,*,败血症
败因,NN,*,*,败因
败于,VV,*,*,败于
败在,VV,*,*,败在
拜,VV,*,*,拜
拜耳,NR,ORG,*,拜耳
拜访,VV,*,*,拜访
拜科努尔,NR,LOC,*,拜科努尔
拜年,NN,*,*,拜年
拜年,VV,*,*,拜年
拜师,NN,*,*,拜师
拜托,VV,*,*,拜托
斑,NN,*,*,斑
斑斑,M,*,*,斑斑
斑剥,JJ,*,*,斑剥
斑铜雀瓶,NN,*,*,斑铜雀瓶
斑纹,NN,*,*,斑纹
班,M,*,*,班
班,NN,*,*,班
班车,NN,*,*,班车
班次,NN,*,*,班次
班底,NN,*,*,班底
班汉,NR,PER,FOR,班汉
班汉·西巴阿差,NR,PER,FOR,班汉·西巴阿差
班轮,NN,*,*,班轮
搬,VV,*,*,搬
搬出,VV,*,*,搬出
搬到,VV,*,*,搬到
搬回,VV,*,*,搬回
搬家,NN,*,*,搬家
搬进,VV,*,*,搬进
搬来,VV,*,*,搬来
搬来搬去,VV,*,*,搬来搬去
搬迁,JJ,*,*,搬迁
搬迁,NN,*,*,搬迁
搬迁,VV,*,*,搬迁
搬迁户,NN,*,*,搬迁户
搬入,VV,*,*,搬入
搬运,VV,*,*,搬运
般,VA,*,*,般
颁,VV,*,*,颁
颁布,NN,*,*,颁布
颁布,VV,*,*,颁布
颁得,VV,*,*,颁得
颁发,VV,*,*,颁发
颁给,VV,*,*,颁给
颁奖,NN,*,*,颁奖
颁奖,VV,*,*,颁奖
颁令,NN,*,*,颁令
颁授,VV,*,*,颁授
板,NN,*,*,板
板块,NN,*,*,板块
板门店,NR,LOC,*,板门店
板桥,NR,LOC,*,板桥
板条,NN,*,*,板条
版,M,*,*,版
版,NN,*,*,版
版本,NN,*,*,版本
版画,NN,*,*,版画
版权,NN,*,*,版权
版图,NN,*,*,版图
版位,NN,*,*,版位
扮成,VV,*,*,扮成
扮演,VV,*,*,扮演
拌有,VV,*,*,拌有
伴,NR,PER,FAM,伴
伴,VV,*,*,伴
伴生,VV,*,*,伴生
伴随,P,*,*,伴随
伴随,VV,*,*,伴随
伴奏,NN,*,*,伴奏
半,AD,*,*,半
半,CD,AFF,*,半
半,CD,NOR,*,半
半,NT,AFF,*,半
半白,VV,*,*,半白
半百,CD,NOR,*,半百
半壁河山,NN,*,*,半壁河山
半壁江山,NN,*,*,半壁江山
半成品,NN,*,*,半成品
半倒,VV,*,*,半倒
半岛,NN,*,*,半岛
半导体,NN,*,*,半导体
半导体厂,NN,*,*,半导体厂
半导体所,NN,*,*,半导体所
半段,NN,*,*,半段
半封闭,JJ,*,*,半封闭
半封闭,VA,*,*,半封闭
半工半读,VV,*,*,半工半读
半活动,JJ,*,*,半活动
半解放区,NN,*,*,半解放区
半决赛,NN,*,*,半决赛
半空,NN,*,*,半空
半路,NN,*,*,半路
半球,NN,*,*,半球
半日闲,NN,*,*,半日闲
半山,NN,*,*,半山
半山腰,NN,*,*,半山腰
半身,NN,*,*,半身
半生,NN,*,*,半生
半数,CD,NOR,*,半数
半数,NN,*,*,半数
半秃,VV,*,*,半秃
半途,NN,*,*,半途
半途而废,VV,*,*,半途而废
半文半白,VA,*,*,半文半白
半夜,NN,*,*,半夜
半圆形,NN,*,*,半圆形
半真半假,VA,*,*,半真半假
半职业化,JJ,*,*,半职业化
半治,NR,PER,GIV,半治
办,VV,*,*,办
办案,VV,*,*,办案
办报,VV,*,*,办报
办厂,VV,*,*,办厂
办成,VV,*,*,办成
办法,NN,*,*,办法
办公,NN,*,*,办公
办公室,NN,*,*,办公室
办公厅,NN,*,*,办公厅
办好,VV,*,*,办好
办理,NN,*,*,办理
办理,VV,*,*,办理
办起,VV,*,*,办起
办事,NN,*,*,办事
办事,VV,*,*,办事
办事处,NN,*,*,办事处
办妥,VV,*,*,办妥
办校,VV,*,*,办校
办学,NN,*,*,办学
办学,VV,*,*,办学
办桌,VV,*,*,办桌
邦,NR,PER,GIV,邦
邦国,NR,PER,GIV,邦国
邦交,NN,*,*,邦交
邦交国,NN,*,*,邦交国
邦谊,NN,*,*,邦谊
邦造,NR,PER,GIV,邦造
帮,VV,*,*,帮
帮衬,VV,*,*,帮衬
帮困,VV,*,*,帮困
帮忙,NN,*,*,帮忙
帮忙,VV,*,*,帮忙
帮派,NN,*,*,帮派
帮凶,NN,*,*,帮凶
帮主,NN,*,*,帮主
帮助,NN,*,*,帮助
帮助,VV,*,*,帮助
榜,NN,*,*,榜
榜上有名,VV,*,*,榜上有名
榜首,NN,*,*,榜首
榜样,NN,*,*,榜样
绑,VV,*,*,绑
绑好,VV,*,*,绑好
绑上,VV,*,*,绑上
绑死,VV,*,*,绑死
棒,VA,*,*,棒
棒球,NN,*,*,棒球
棒球棒,NN,*,*,棒球棒
磅礴,VA,*,*,磅礴
蚌埠,NR,LOC,*,蚌埠
傍,LC,*,*,傍
傍,P,*,*,傍
傍晚,NN,*,*,傍晚
傍晚,NT,NOR,*,傍晚
胞,M,*,*,胞
包,M,*,*,包
包,NN,*,*,包
包,NR,PER,FAM,包
包,VV,*,*,包
包庇,NN,*,*,包庇
包庇罪,NN,*,*,包庇罪
包藏,VV,*,*,包藏
包底,VV,*,*,包底
包袱,NN,*,*,包袱
包覆,VV,*,*,包覆
包干,NN,*,*,包干
包钢,NR,ORG,*,包钢
包裹,NN,*,*,包裹
包含,VV,*,*,包含
包机,NN,*,*,包机
包括,AD,*,*,包括
包括,P,*,*,包括
包括,VV,*,*,包括
包揽,VV,*,*,包揽
包容,NN,*,*,包容
包容,VV,*,*,包容
包上,VV,*,*,包上
包头,NR,LOC,*,包头
包头市,NR,LOC,*,包头市
包围,VV,*,*,包围
包种,NN,*,*,包种
包装,NN,*,*,包装
包装,VV,*,*,包装
包子,NN,*,*,包子
包子店,NN,*,*,包子店
褒贬,NN,*,*,褒贬
褒忠,NR,LOC,*,褒忠
剥,VV,*,*,剥
剥夺,VV,*,*,剥夺
剥削,NN,*,*,剥削
剥削,VV,*,*,剥削
薄,AD,*,*,薄
薄,JJ,*,*,薄
薄,VA,*,*,薄
薄板,NN,*,*,薄板
薄板厂,NN,*,*,薄板厂
薄薄,JJ,*,*,薄薄
薄利多销,VV,*,*,薄利多销
薄膜,NN,*,*,薄膜
